,Player Name,Team,Opponent,Venue,Difficulty,Gameweek,Kickoff Time
0,Xhaka,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
1,Elneny,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
2,Holding,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
3,Partey,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
4,Ødegaard,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
5,Tierney,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
6,Pépé,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
7,White,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
8,Nketiah,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
9,Smith Rowe,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
10,Saka,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
11,Tomiyasu,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
12,Ramsdale,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
13,Gabriel,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
14,Tavares,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
15,Martinelli,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
16,Pablo Marí,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
17,Torreira,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
18,Nelson,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
19,Turner,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
20,Fábio Vieira,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
21,Saliba,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
22,Marquinhos,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
23,Jesus,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
24,Trossard,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
25,Jorginho,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
26,Zinchenko,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
27,Smith,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
28,Nwaneri,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
29,Sousa,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
30,Hein,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
31,Cozier-Duberry,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
32,Butler-Oyedeji,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
33,Kiwior,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
34,Walters,Arsenal,Nott'm Forest,Away,2,37,2023-05-20T16:30:00Z
35,Xhaka,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
36,Elneny,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
37,Holding,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
38,Partey,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
39,Ødegaard,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
40,Tierney,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
41,Pépé,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
42,White,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
43,Nketiah,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
44,Smith Rowe,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
45,Saka,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
46,Tomiyasu,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
47,Ramsdale,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
48,Gabriel,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
49,Tavares,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
50,Martinelli,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
51,Pablo Marí,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
52,Torreira,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
53,Nelson,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
54,Turner,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
55,Fábio Vieira,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
56,Saliba,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
57,Marquinhos,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
58,Jesus,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
59,Trossard,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
60,Jorginho,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
61,Zinchenko,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
62,Smith,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
63,Nwaneri,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
64,Sousa,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
65,Hein,Arsenal,Wolves,Home,2,38,2023-05-28T15:30:00Z
