,Unnamed: 0,player_name,fixture,opponent_team,game_points,venue,team_h_score,team_a_score,gameweek,game_minutes_played,match_goals_scored,game_assists,game_clean_sheets,game_goals_conceded,game_own_goals,game_penalties_saved,game_penalties_missed,game_yellow_cards,game_red_cards,game_saves,game_bonus,game_xG,game_xA,value,selected_by(%),price,bonus_x.1,total_goals_scored,total_assists,clean_sheets_x.1,total_clean_sheets,total_goals_conceded,total_own_goals,total_penalties_saved,total_penalties_missed,total_yellow_cards,total_red_cards,total_bonus,total_starts,total_xG,total_xA,total_points
0,0,Xhaka,1,Crystal Palace,2,Away,0.0,2.0,1,90,0,0,1,0,0,0,0,1,0,0,0,0.0,0.06,50,2.4,4.8,0,5,8,1,11,33,0,0,0,4,0,13,32,3.67,3.67,132
1,1,Xhaka,11,Leicester,12,Home,4.0,2.0,2,90,1,1,0,2,0,0,0,0,0,0,2,0.38,0.1,50,2.4,4.8,2,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
2,2,Xhaka,21,Bournemouth,6,Away,0.0,3.0,3,87,0,1,1,0,0,0,0,0,0,0,0,0.0,0.11,50,2.4,4.8,0,5,8,1,11,33,0,0,0,4,0,13,32,3.67,3.67,132
3,3,Xhaka,31,Fulham,2,Home,2.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,0.09,0.07,50,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
4,4,Xhaka,41,Aston Villa,2,Home,2.0,1.0,5,90,0,0,0,1,0,0,0,0,0,0,0,0.0,0.04,50,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
5,5,Xhaka,56,Man Utd,2,Away,3.0,1.0,6,90,0,0,0,3,0,0,0,0,0,0,0,0.16,0.13,50,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
6,6,Xhaka,72,Brentford,5,Away,0.0,3.0,8,90,0,1,1,0,0,0,0,1,0,0,0,0.04,0.25,50,2.4,4.8,0,5,8,1,11,33,0,0,0,4,0,13,32,3.67,3.67,132
7,7,Xhaka,81,Spurs,9,Home,3.0,1.0,9,90,1,0,0,1,0,0,0,0,0,0,2,0.33,0.17,51,2.4,4.8,2,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
8,8,Xhaka,91,Liverpool,2,Home,3.0,2.0,10,90,0,0,0,2,0,0,0,0,0,0,0,0.08,0.25,51,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
9,9,Xhaka,104,Leeds,3,Away,0.0,1.0,11,90,0,0,1,0,0,0,0,0,0,0,0,0.0,0.02,51,2.4,4.8,0,5,8,1,11,33,0,0,0,4,0,13,32,3.67,3.67,132
10,10,Xhaka,127,Southampton,10,Away,1.0,1.0,13,90,1,0,0,1,0,0,0,0,0,0,3,0.29,0.06,51,2.4,4.8,3,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
11,11,Xhaka,131,Nott'm Forest,3,Home,5.0,0.0,14,74,0,0,1,0,0,0,0,0,0,0,0,0.04,0.19,51,2.4,4.8,0,5,8,1,11,33,0,0,0,4,0,13,32,3.67,3.67,132
12,12,Xhaka,142,Chelsea,3,Away,0.0,1.0,15,90,0,0,1,0,0,0,0,0,0,0,0,0.07,0.03,51,2.4,4.8,0,5,8,1,11,33,0,0,0,4,0,13,32,3.67,3.67,132
13,13,Xhaka,160,Wolves,1,Away,0.0,2.0,16,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,51,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
14,14,Xhaka,161,West Ham,5,Home,3.0,1.0,17,90,0,1,0,1,0,0,0,0,0,0,0,0.07,0.08,51,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
15,15,Xhaka,172,Brighton,2,Away,2.0,4.0,18,90,0,0,0,2,0,0,0,0,0,0,0,0.0,0.09,51,2.4,4.8,0,5,8,0,11,33,0,0,0,4,0,13,32,3.67,3.67,132
