,Gameweek,Player Name,Position,Opponent,Team,Gameweek Points,Venue,Home Team Score,Away Team Score,Minutes Played,Goals Scored,Assists,Clean Sheets,Goals Conceded,xG Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,xG,xA,Selected By(%),Price,Total Goals Scored,Total Assists,Clean Sheets,Total Clean Sheets,Total Goals Conceded,Total xG Conceded,Total Own Goals,Total Saves,Total Penalties Saved,Total Penalties Missed,Total Yellow Cards,Total Red Cards,Total Bonus,Total Starts,Total xG,Total xA,Total Points
0,1,Xhaka,Midfielder,Crystal Palace,Arsenal,2,Away,0.0,2.0,90,0,0,1,0,1.21,0,0,0,1,0,0,0,0.0,0.06,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
1,2,Xhaka,Midfielder,Leicester,Arsenal,12,Home,4.0,2.0,90,1,1,0,2,0.46,0,0,0,0,0,0,2,0.38,0.1,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
2,3,Xhaka,Midfielder,Bournemouth,Arsenal,6,Away,0.0,3.0,87,0,1,1,0,0.26,0,0,0,0,0,0,0,0.0,0.11,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
3,4,Xhaka,Midfielder,Fulham,Arsenal,2,Home,2.0,1.0,90,0,0,0,1,0.83,0,0,0,0,0,0,0,0.09,0.07,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
4,5,Xhaka,Midfielder,Aston Villa,Arsenal,2,Home,2.0,1.0,90,0,0,0,1,0.45,0,0,0,0,0,0,0,0.0,0.04,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
5,6,Xhaka,Midfielder,Man Utd,Arsenal,2,Away,3.0,1.0,90,0,0,0,3,1.55,0,0,0,0,0,0,0,0.16,0.13,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
6,8,Xhaka,Midfielder,Brentford,Arsenal,5,Away,0.0,3.0,90,0,1,1,0,0.53,0,0,0,1,0,0,0,0.04,0.25,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
7,9,Xhaka,Midfielder,Spurs,Arsenal,9,Home,3.0,1.0,90,1,0,0,1,1.57,0,0,0,0,0,0,2,0.33,0.17,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
8,10,Xhaka,Midfielder,Liverpool,Arsenal,2,Home,3.0,2.0,90,0,0,0,2,1.13,0,0,0,0,0,0,0,0.08,0.25,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
9,11,Xhaka,Midfielder,Leeds,Arsenal,3,Away,0.0,1.0,90,0,0,1,0,1.86,0,0,0,0,0,0,0,0.0,0.02,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
10,13,Xhaka,Midfielder,Southampton,Arsenal,10,Away,1.0,1.0,90,1,0,0,1,0.67,0,0,0,0,0,0,3,0.29,0.06,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
11,14,Xhaka,Midfielder,Nott'm Forest,Arsenal,3,Home,5.0,0.0,74,0,0,1,0,0.39,0,0,0,0,0,0,0,0.04,0.19,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
12,15,Xhaka,Midfielder,Chelsea,Arsenal,3,Away,0.0,1.0,90,0,0,1,0,0.29,0,0,0,0,0,0,0,0.07,0.03,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
13,16,Xhaka,Midfielder,Wolves,Arsenal,1,Away,0.0,2.0,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
14,17,Xhaka,Midfielder,West Ham,Arsenal,5,Home,3.0,1.0,90,0,1,0,1,1.07,0,0,0,0,0,0,0,0.07,0.08,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
15,18,Xhaka,Midfielder,Brighton,Arsenal,2,Away,2.0,4.0,90,0,0,0,2,1.15,0,0,0,0,0,0,0,0.0,0.09,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
16,19,Xhaka,Midfielder,Newcastle,Arsenal,2,Home,0.0,0.0,90,0,0,1,0,1.08,0,0,0,1,0,0,0,0.31,0.16,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
17,20,Xhaka,Midfielder,Spurs,Arsenal,3,Away,0.0,2.0,90,0,0,1,0,1.54,0,0,0,0,0,0,0,0.09,0.15,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
18,21,Xhaka,Midfielder,Man Utd,Arsenal,5,Home,3.0,2.0,90,0,1,0,2,0.33,0,0,0,0,0,0,0,0.0,0.72,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
19,22,Xhaka,Midfielder,Everton,Arsenal,2,Away,1.0,0.0,90,0,0,0,1,1.66,0,0,0,0,0,0,0,0.12,0.08,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
20,23,Xhaka,Midfielder,Brentford,Arsenal,2,Home,1.0,1.0,80,0,0,0,1,2.23,0,0,0,0,0,0,0,0.02,0.09,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
21,23,Xhaka,Midfielder,Man City,Arsenal,2,Home,1.0,3.0,82,0,0,0,3,1.71,0,0,0,0,0,0,0,0.05,0.08,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
22,24,Xhaka,Midfielder,Aston Villa,Arsenal,2,Away,2.0,4.0,78,0,0,0,2,0.4,0,0,0,0,0,0,0,0.06,0.02,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
23,25,Xhaka,Midfielder,Leicester,Arsenal,3,Away,0.0,1.0,90,0,0,1,0,0.02,0,0,0,0,0,0,0,0.0,0.08,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
24,25,Xhaka,Midfielder,Everton,Arsenal,3,Home,4.0,0.0,71,0,0,1,0,0.74,0,0,0,0,0,0,0,0.0,0.04,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
25,26,Xhaka,Midfielder,Bournemouth,Arsenal,1,Home,3.0,2.0,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.01,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
26,27,Xhaka,Midfielder,Fulham,Arsenal,3,Away,0.0,3.0,90,0,0,1,0,0.84,0,0,0,0,0,0,0,0.13,0.06,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
27,28,Xhaka,Midfielder,Crystal Palace,Arsenal,9,Home,4.0,1.0,90,1,0,0,1,0.6,0,0,0,0,0,0,2,0.4,0.06,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
28,29,Xhaka,Midfielder,Leeds,Arsenal,9,Home,4.0,1.0,85,1,0,0,1,0.78,0,0,0,0,0,0,2,0.15,0.25,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
29,30,Xhaka,Midfielder,Liverpool,Arsenal,1,Away,2.0,2.0,90,0,0,0,2,3.96,0,0,0,1,0,0,0,0.04,0.01,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
30,31,Xhaka,Midfielder,West Ham,Arsenal,2,Away,2.0,2.0,90,0,0,0,2,1.75,0,0,0,0,0,0,0,0.0,0.04,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
31,32,Xhaka,Midfielder,Southampton,Arsenal,0,Home,3.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
32,33,Xhaka,Midfielder,Man City,Arsenal,1,Away,4.0,1.0,59,0,0,0,3,1.85,0,0,0,0,0,0,0,0.02,0.03,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
33,34,Xhaka,Midfielder,Chelsea,Arsenal,13,Home,3.0,1.0,90,0,3,0,1,0.74,0,0,0,0,0,0,2,0.73,0.14,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
34,35,Xhaka,Midfielder,Newcastle,Arsenal,3,Away,0.0,2.0,90,0,0,1,0,1.3,0,0,0,0,0,0,0,0.0,0.17,2.6,4.8,5,8,1,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
35,36,Xhaka,Midfielder,Brighton,Arsenal,1,Home,0.0,3.0,59,0,0,0,1,0.96,0,0,0,0,0,0,0,0.1,0.02,2.6,4.8,5,8,0,12,34,35.91,0,0,0,0,4,0,13,34,3.77,3.86,136
36,1,Elneny,Midfielder,Crystal Palace,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
