,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
0,Granit Xhaka,Arsenal,3,2.4,4.8,2617,119,5,5,11,11,Midfielder
1,Mohamed Elneny,Arsenal,3,0.6,4.1,111,6,0,0,0,0,Midfielder
2,Rob Holding,Arsenal,2,0.2,4.2,557,20,1,0,0,0,Defender
3,Thomas Partey,Arsenal,3,0.4,4.7,2256,79,3,0,10,6,Midfielder
4,Martin Ødegaard,Arsenal,3,26.1,6.6,2723,180,12,8,11,25,Midfielder
5,Kieran Tierney,Arsenal,2,0.7,4.6,601,32,0,1,1,0,Defender
6,Nicolas Pépé,Arsenal,3,0.1,5.3,0,0,0,0,0,0,Midfielder
7,Benjamin White,Arsenal,2,15.2,5.0,2604,139,2,5,13,12,Defender
8,Eddie Nketiah,Arsenal,4,1.8,6.4,1018,60,4,2,2,5,Forward
9,Emile Smith Rowe,Arsenal,3,0.4,5.6,133,13,0,1,0,0,Midfielder
10,Bukayo Saka,Arsenal,3,31.1,8.2,2785,187,13,12,11,19,Midfielder
11,Takehiro Tomiyasu,Arsenal,2,0.5,4.2,651,32,0,1,2,0,Defender
12,Aaron Ramsdale,Arsenal,1,10.8,4.8,2970,120,0,0,12,6,Goalkeeper
13,Gabriel dos Santos Magalhães,Arsenal,2,14.5,5.2,2965,129,3,0,12,14,Defender
14,Nuno Varela Tavares,Arsenal,2,0.0,4.5,0,0,0,0,0,0,Defender
15,Gabriel Martinelli Silva,Arsenal,3,40.4,6.8,2660,190,15,8,13,18,Midfielder
16,Pablo Marí Villar,Arsenal,2,0.0,4.5,0,0,0,0,0,0,Defender
17,Lucas Torreira di Pascua,Arsenal,3,0.1,4.5,0,0,0,0,0,0,Midfielder
18,Reiss Nelson,Arsenal,3,0.0,4.7,123,38,3,3,1,5,Midfielder
19,Matt Turner,Arsenal,1,1.3,3.8,0,0,0,0,0,0,Goalkeeper
20,Fábio Ferreira Vieira,Arsenal,3,0.1,5.6,465,38,1,2,2,2,Midfielder
21,William Saliba,Arsenal,2,16.7,4.9,2415,117,2,1,12,14,Defender
22,Marcus Oliveira Alencar,Arsenal,3,0.1,4.6,1,1,0,0,0,0,Midfielder
23,Gabriel Fernando de Jesus,Arsenal,4,27.9,8.1,1632,101,9,6,7,13,Forward
24,Leandro Trossard,Arsenal,3,7.2,6.6,1951,139,8,11,7,8,Midfielder
25,Jorge Luiz Frello Filho,Arsenal,3,1.9,5.7,1713,65,2,1,7,5,Midfielder
26,Oleksandr Zinchenko,Arsenal,2,11.1,5.1,1990,91,1,2,9,8,Defender
27,Matthew Smith,Arsenal,3,0.1,4.4,0,0,0,0,0,0,Midfielder
28,Ethan Nwaneri,Arsenal,3,0.0,4.5,1,1,0,0,0,0,Midfielder
29,Lino Sousa,Arsenal,2,0.1,4.0,0,0,0,0,0,0,Defender
30,Karl Hein,Arsenal,1,0.0,3.9,0,0,0,0,0,0,Goalkeeper
31,Amario Cozier-Duberry,Arsenal,3,0.0,4.5,0,0,0,0,0,0,Midfielder
32,Nathan Butler-Oyedeji,Arsenal,4,0.0,4.5,0,0,0,0,0,0,Forward
33,Jakub Kiwior,Arsenal,2,0.0,4.0,14,2,0,0,0,0,Defender
34,Reuell Walters,Arsenal,2,0.0,4.0,0,0,0,0,0,0,Defender
35,Philippe Coutinho Correia,Aston Villa,3,2.9,6.6,777,32,1,0,3,1,Midfielder
