,Player Name,Team,Position,Price,Total Points,Total Goals,Total Assists,Total Clean Sheets,Total Bonus,Minutes Played
0,Xhaka,Arsenal,Midfielder,4.8,136,5,8,12,13,2856
1,Elneny,Arsenal,Midfielder,4.1,6,0,0,0,0,111
2,Holding,Arsenal,Defender,4.2,21,1,0,0,0,562
3,Partey,Arsenal,Midfielder,4.7,81,3,0,10,6,2300
4,Ødegaard,Arsenal,Midfielder,6.8,207,15,8,12,30,2968
5,Tierney,Arsenal,Defender,4.6,35,0,1,1,0,737
6,Pépé,Arsenal,Midfielder,5.3,0,0,0,0,0,0
7,White,Arsenal,Defender,5.0,148,2,5,14,12,2874
8,Nketiah,Arsenal,Forward,6.3,61,4,2,2,5,1034
9,Smith Rowe,Arsenal,Midfielder,5.6,14,0,1,0,0,146
10,Saka,Arsenal,Midfielder,8.1,194,13,12,12,19,3034
11,Tomiyasu,Arsenal,Defender,4.2,32,0,1,2,0,651
12,Ramsdale,Arsenal,Goalkeeper,4.8,135,0,0,13,9,3240
13,Gabriel,Arsenal,Defender,5.2,139,3,0,13,15,3229
14,Tavares,Arsenal,Defender,4.5,0,0,0,0,0,0
15,Martinelli,Arsenal,Midfielder,6.6,198,15,9,14,18,2789
16,Pablo Marí,Arsenal,Defender,4.5,0,0,0,0,0,0
17,Torreira,Arsenal,Midfielder,4.5,0,0,0,0,0,0
18,Nelson,Arsenal,Midfielder,4.7,41,3,3,1,5,172
19,Turner,Arsenal,Goalkeeper,3.8,0,0,0,0,0,0
20,Fábio Vieira,Arsenal,Midfielder,5.6,38,1,2,2,2,465
21,Saliba,Arsenal,Defender,4.9,117,2,1,12,14,2415
22,Marquinhos,Arsenal,Midfielder,4.6,1,0,0,0,0,1
23,Jesus,Arsenal,Forward,8.1,112,10,6,8,14,1884
24,Trossard,Arsenal,Midfielder,6.6,143,8,11,7,8,2089
25,Jorginho,Arsenal,Midfielder,5.7,74,2,2,8,5,1947
26,Zinchenko,Arsenal,Defender,5.1,99,1,2,10,8,2122
27,Smith,Arsenal,Midfielder,4.4,0,0,0,0,0,0
28,Nwaneri,Arsenal,Midfielder,4.5,1,0,0,0,0,1
29,Sousa,Arsenal,Defender,4.0,0,0,0,0,0,0
30,Hein,Arsenal,Goalkeeper,3.9,0,0,0,0,0,0
31,Cozier-Duberry,Arsenal,Midfielder,4.5,0,0,0,0,0,0
32,Butler-Oyedeji,Arsenal,Forward,4.5,0,0,0,0,0,0
33,Kiwior,Arsenal,Defender,4.0,11,0,0,1,0,284
34,Walters,Arsenal,Defender,4.0,0,0,0,0,0,0
35,Coutinho,Aston Villa,Midfielder,6.6,32,1,0,3,1,777
36,Martínez,Aston Villa,Goalkeeper,5.0,130,0,0,11,15,2959
37,Chambers,Aston Villa,Defender,4.2,13,0,0,0,0,345
38,Digne,Aston Villa,Defender,4.5,48,1,0,3,4,1350
39,Traoré,Aston Villa,Midfielder,4.9,20,2,0,1,1,226
40,Olsen,Aston Villa,Goalkeeper,3.9,10,0,0,1,1,280
41,Sanson,Aston Villa,Midfielder,4.3,2,0,0,0,0,10
42,McGinn,Aston Villa,Midfielder,5.1,87,1,5,10,3,2512
43,Hause,Aston Villa,Defender,4.4,0,0,0,0,0,0
44,Mings,Aston Villa,Defender,4.8,128,1,3,12,17,2970
45,Watkins,Aston Villa,Forward,7.4,166,14,8,12,22,2953
46,Nakamba,Aston Villa,Midfielder,4.3,0,0,0,0,0,0
47,Buendía,Aston Villa,Midfielder,5.7,115,5,3,11,8,2358
48,Cash,Aston Villa,Defender,4.6,54,0,2,4,3,1637
49,Konsa,Aston Villa,Defender,4.4,107,0,0,12,6,3142
50,Bailey,Aston Villa,Midfielder,4.3,97,4,5,8,6,1843
51,Douglas Luiz,Aston Villa,Midfielder,4.8,126,5,6,12,14,2746
52,Ramsey,Aston Villa,Midfielder,5.1,118,5,6,11,10,2454
53,Iroegbunam,Aston Villa,Midfielder,4.5,0,0,0,0,0,0
54,Diego Carlos,Aston Villa,Defender,4.7,4,0,0,0,0,205
55,El Ghazi,Aston Villa,Midfielder,4.8,0,0,0,0,0,0
56,Davis,Aston Villa,Forward,5.4,0,0,0,0,0,0
57,Kamara,Aston Villa,Midfielder,4.8,40,0,1,3,0,1593
58,Archer,Aston Villa,Forward,4.2,6,0,0,0,0,43
59,Philogene-Bidace,Aston Villa,Midfielder,4.5,0,0,0,0,0,0
60,Guilbert,Aston Villa,Defender,3.9,0,0,0,0,0,0
61,Dendoncker,Aston Villa,Midfielder,4.7,36,0,0,4,0,894
